departement,conformite_eau_moyenne,nombre_deces,population_totale,nb_cancers,nb_insuffisance_renale,nb_foie_pancreas,pourcentage_cancer,pourcentage_insuffisance_renale,pourcentage_foie_pancreas
88,85.91,4128,357140,65210,1130,3240,18.2589,0.3164,0.9072
89,94.95,4299,324610,63860,890,3260,19.6728,0.2742,1.0043
90,84.32,2289,134750,20870,400,1140,15.4879,0.2968,0.846
91,99.4,8238,1319160,180340,3580,11210,13.6708,0.2714,0.8498
92,99.73,10496,1604160,221030,4150,12770,13.7786,0.2587,0.7961
93,98.96,7964,1613410,177500,6120,16780,11.0015,0.3793,1.04
94,99.7,9480,1376070,183980,4410,13420,13.37,0.3205,0.9752
95,98.97,7926,1285820,150010,3780,10180,11.6665,0.294,0.7917
971,78.39,3853,387180,53240,2320,3610,13.7507,0.5992,0.9324
972,68.54,3842,360050,51740,2020,2140,14.3702,0.561,0.5944
973,67.5,1207,203170,11430,740,1300,5.6258,0.3642,0.6399
974,77.8,5557,937090,83250,5100,7160,8.8839,0.5442,0.7641
975,0.0,61,0,0,0,0,0.0,0.0,0.0
976,94.28,916,130950,2930,510,430,2.2375,0.3895,0.3284
977,0.0,45,0,0,0,0,0.0,0.0,0.0
978,0.0,158,0,0,0,0,0.0,0.0,0.0
98,0.0,1869,0,0,0,0,0.0,0.0,0.0
999,0.0,7273,134496220,22279790,405580,1193240,16.5654,0.3016,0.8872
